_key_,_dataset_id_,_seconds_,Z_AB,__file__,_forecast_steps_derived_,model,group_msec,seconds_ahead,timesteps_orig,Epochs,units_range,batch_size,Z_BA,DeltaZ
LSTM|40.0|3.0|60.0|20.0|16-64:16|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.04410706347003765,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,LSTM,40.0,3.0,60.0,20.0,16-64:16,256.0,0.298549739306856,-0.25444267583681834
GRU|40.0|10.0|120.0|20.0|64-256:64|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.6970603558691433,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,GRU,40.0,10.0,120.0,20.0,64-256:64,256.0,-0.11424942870163673,0.81130978457078
LSTM|40.0|3.0|120.0|20.0|64-256:64|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.3996863792483185,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,LSTM,40.0,3.0,120.0,20.0,64-256:64,256.0,-0.18066449149016367,0.5803508707384821
LSTM|100.0|10.0|120.0|20.0|64-256:64|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,-0.5440896299672673,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,LSTM,100.0,10.0,120.0,20.0,64-256:64,256.0,0.15250814346931155,-0.6965977734365788
LSTM|100.0|3.0|60.0|150.0|64-256:64|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.4913677615687556,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,LSTM,100.0,3.0,60.0,150.0,64-256:64,256.0,0.05325226483160976,0.43811549673714584
GRU|40.0|3.0|120.0|150.0|16-64:16|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.11099346271018616,Resultado_experimentos_2DS_FatFrac_1211.xlsx,75,GRU,40.0,3.0,120.0,150.0,16-64:16,256.0,0.06714112720470646,0.043852335505479706
LSTM|100.0|3.0|120.0|150.0|16-64:16|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,3.0,0.2616530573945372,Resultado_experimentos_2DS_FatFrac_1211.xlsx,30,LSTM,100.0,3.0,120.0,150.0,16-64:16,256.0,-0.08610426354761049,0.3477573209421477
GRU|100.0|10.0|60.0|150.0|64-256:64|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.21723013932468518,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,GRU,100.0,10.0,60.0,150.0,64-256:64,256.0,0.04101468307546847,0.17621545624921672
GRU|100.0|10.0|120.0|150.0|16-64:16|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,0.06827529981483729,Resultado_experimentos_2DS_FatFrac_1211.xlsx,100,GRU,100.0,10.0,120.0,150.0,16-64:16,256.0,-0.43645103289290077,0.504726332707738
LSTM|40.0|10.0|120.0|150.0|16-64:16|256.0,rssi_odom_dataset_12apr25_isolado.parquet→rssi_odom_dataset_11apr25_isolado,10.0,-0.31966088856104113,Resultado_experimentos_2DS_FatFrac_1211.xlsx,250,LSTM,40.0,10.0,120.0,150.0,16-64:16,256.0,-1.0798905441218163,0.7602296555607752
