Modelo,Resample (ms),Seconds to predict (s),Forecast steps,Timesteps,Epochs,Units (min-max:step),Batchsize,Feito?,ExpID,__block__,RunOrder
LSTM,100,5.0,50,60,20,32-96:32,512,OK,E256,100|5.0|LSTM,114
LSTM,100,5.0,50,120,20,32-96:32,2048,OK,E276,100|5.0|LSTM,115
LSTM,100,5.0,50,60,150,16-64:16,1024,OK,E263,100|5.0|LSTM,116
LSTM,100,5.0,50,120,150,64-256:64,2048,OK,E288,100|5.0|LSTM,117
LSTM,100,5.0,50,60,150,32-96:32,512,OK,E265,100|5.0|LSTM,118
LSTM,100,5.0,50,60,150,64-256:64,512,OK,E268,100|5.0|LSTM,119
LSTM,100,5.0,50,60,150,32-96:32,2048,OK,E267,100|5.0|LSTM,120
LSTM,100,5.0,50,120,20,32-96:32,1024,OK,E275,100|5.0|LSTM,121
LSTM,100,5.0,50,60,20,16-64:16,512,OK,E253,100|5.0|LSTM,122
LSTM,100,5.0,50,120,150,32-96:32,512,OK,E283,100|5.0|LSTM,123
LSTM,100,5.0,50,120,20,16-64:16,2048,OK,E273,100|5.0|LSTM,124
LSTM,100,5.0,50,120,150,32-96:32,1024,OK,E284,100|5.0|LSTM,125
LSTM,100,5.0,50,120,20,16-64:16,1024,OK,E272,100|5.0|LSTM,126
LSTM,100,5.0,50,60,150,32-96:32,1024,OK,E266,100|5.0|LSTM,127
LSTM,100,5.0,50,120,20,64-256:64,512,OK,E277,100|5.0|LSTM,128
LSTM,100,5.0,50,60,150,64-256:64,1024,OK,E269,100|5.0|LSTM,129
LSTM,100,5.0,50,60,150,64-256:64,2048,OK,E270,100|5.0|LSTM,130
LSTM,100,5.0,50,60,150,16-64:16,2048,OK,E264,100|5.0|LSTM,131
LSTM,100,5.0,50,60,20,32-96:32,1024,OK,E257,100|5.0|LSTM,132
LSTM,100,5.0,50,120,150,16-64:16,512,OK,E280,100|5.0|LSTM,133
LSTM,100,5.0,50,60,150,16-64:16,512,OK,E262,100|5.0|LSTM,134
LSTM,100,5.0,50,120,150,16-64:16,2048,OK,E282,100|5.0|LSTM,135
LSTM,100,5.0,50,60,20,16-64:16,1024,OK,E254,100|5.0|LSTM,136
LSTM,100,5.0,50,60,20,64-256:64,1024,OK,E260,100|5.0|LSTM,137
LSTM,100,5.0,50,120,150,64-256:64,1024,OK,E287,100|5.0|LSTM,138
LSTM,100,5.0,50,120,150,16-64:16,1024,OK,E281,100|5.0|LSTM,139
LSTM,100,5.0,50,120,150,32-96:32,2048,OK,E285,100|5.0|LSTM,140
LSTM,100,5.0,50,60,20,16-64:16,2048,OK,E255,100|5.0|LSTM,141
LSTM,100,5.0,50,120,20,16-64:16,512,OK,E271,100|5.0|LSTM,142
LSTM,100,5.0,50,120,20,64-256:64,2048,OK,E279,100|5.0|LSTM,143
LSTM,100,5.0,50,120,150,64-256:64,512,OK,E286,100|5.0|LSTM,144
GRU,40,3.0,75,60,150,64-256:64,1024,OK,E017,40|3.0|GRU,145
GRU,40,3.0,75,60,20,64-256:64,1024,OK,E008,40|3.0|GRU,146
GRU,40,3.0,75,120,20,16-64:16,2048,OK,E021,40|3.0|GRU,147
GRU,40,3.0,75,60,20,16-64:16,1024,OK,E002,40|3.0|GRU,148
GRU,40,3.0,75,120,20,16-64:16,1024,OK,E020,40|3.0|GRU,149
GRU,40,3.0,75,60,20,16-64:16,512,OK,E001,40|3.0|GRU,150
GRU,40,3.0,75,120,150,16-64:16,1024,OK,E029,40|3.0|GRU,151
GRU,40,3.0,75,120,150,64-256:64,2048,OK,E036,40|3.0|GRU,152
GRU,40,3.0,75,60,20,32-96:32,1024,OK,E005,40|3.0|GRU,153
GRU,40,3.0,75,120,150,32-96:32,2048,OK,E033,40|3.0|GRU,154
GRU,40,3.0,75,120,20,32-96:32,2048,OK,E024,40|3.0|GRU,155
GRU,40,3.0,75,120,20,64-256:64,512,OK,E025,40|3.0|GRU,156
GRU,40,3.0,75,120,20,32-96:32,1024,OK,E023,40|3.0|GRU,157
GRU,40,3.0,75,60,150,16-64:16,2048,OK,E012,40|3.0|GRU,158
GRU,40,3.0,75,60,150,16-64:16,512,OK,E010,40|3.0|GRU,159
GRU,40,3.0,75,120,150,32-96:32,512,OK,E031,40|3.0|GRU,160
GRU,40,3.0,75,60,20,64-256:64,512,OK,E007,40|3.0|GRU,161
GRU,40,3.0,75,120,20,64-256:64,1024,OK,E026,40|3.0|GRU,162
GRU,40,3.0,75,60,150,64-256:64,512,OK,E016,40|3.0|GRU,163
GRU,40,3.0,75,120,150,64-256:64,512,OK,E034,40|3.0|GRU,164
GRU,40,3.0,75,60,20,32-96:32,2048,OK,E006,40|3.0|GRU,165
GRU,40,3.0,75,60,20,16-64:16,2048,OK,E003,40|3.0|GRU,166
GRU,40,3.0,75,120,20,16-64:16,512,OK,E019,40|3.0|GRU,167
GRU,40,3.0,75,60,150,32-96:32,2048,OK,E015,40|3.0|GRU,168
GRU,40,3.0,75,120,150,32-96:32,1024,OK,E032,40|3.0|GRU,169
GRU,40,3.0,75,120,20,64-256:64,2048,OK,E027,40|3.0|GRU,170
GRU,40,3.0,75,60,150,64-256:64,2048,OK,E018,40|3.0|GRU,171
GRU,40,3.0,75,60,20,64-256:64,2048,OK,E009,40|3.0|GRU,172
GRU,40,3.0,75,120,150,16-64:16,512,OK,E028,40|3.0|GRU,173
GRU,40,3.0,75,120,150,16-64:16,2048,OK,E030,40|3.0|GRU,174
GRU,40,3.0,75,120,150,64-256:64,1024,OK,E035,40|3.0|GRU,175
GRU,40,3.0,75,60,150,32-96:32,1024,OK,E014,40|3.0|GRU,176
GRU,40,3.0,75,60,150,32-96:32,512,OK,E013,40|3.0|GRU,177
GRU,40,3.0,75,60,150,16-64:16,1024,OK,E011,40|3.0|GRU,178
GRU,40,3.0,75,120,20,32-96:32,512,OK,E022,40|3.0|GRU,179
GRU,40,3.0,75,60,20,32-96:32,512,OK,E004,40|3.0|GRU,180
LSTM,40,3.0,75,120,20,32-96:32,512,OK,E166,40|3.0|LSTM,181
LSTM,40,3.0,75,120,20,64-256:64,2048,OK,E171,40|3.0|LSTM,182
LSTM,40,3.0,75,120,150,16-64:16,1024,OK,E173,40|3.0|LSTM,183
LSTM,40,3.0,75,60,150,16-64:16,1024,OK,E155,40|3.0|LSTM,184
LSTM,40,3.0,75,60,20,16-64:16,1024,OK,E146,40|3.0|LSTM,185
LSTM,40,3.0,75,60,20,32-96:32,2048,OK,E150,40|3.0|LSTM,186
LSTM,40,3.0,75,60,20,64-256:64,1024,OK,E152,40|3.0|LSTM,187
LSTM,40,3.0,75,60,20,64-256:64,512,OK,E151,40|3.0|LSTM,188
LSTM,40,3.0,75,60,20,64-256:64,2048,OK,E153,40|3.0|LSTM,189
