_key_,_dataset_id_,_seconds_,Z_1112,__file__,Modelo,group_msec,seconds_ahead,forecast_steps,timesteps_orig,Epochs,units_range,batch_size,Z_1211,DeltaZ
LSTM|40|5.0|125|120|20|32-96:32|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,0.23042795487989967,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,40,5.0,125,120,20,32-96:32,2048,0.7499957848004947,-0.519567829920595
GRU|40|3.0|75|60|150|64-256:64|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.3382579698584269,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,3.0,75,60,150,64-256:64,512,0.04507158277410198,-0.3833295526325289
LSTM|40|3.0|75|60|150|64-256:64|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.3494464550509109,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,40,3.0,75,60,150,64-256:64,2048,-0.17980395974664468,-0.1696424953042662
GRU|40|3.0|75|120|20|16-64:16|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.35245739984005076,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,3.0,75,120,20,16-64:16,1024,0.5802374396065655,-0.9326948394466162
LSTM|100|5.0|50|60|150|16-64:16|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,0.20691399701160013,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,5.0,50,60,150,16-64:16,512,-0.20919264155164788,0.41610663856324803
GRU|40|3.0|75|60|150|64-256:64|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.3584640624663882,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,3.0,75,60,150,64-256:64,2048,0.2612452181785699,-0.619709280644958
LSTM|40|3.0|75|60|20|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.38989860841948565,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,40,3.0,75,60,20,64-256:64,1024,0.47804101422121026,-0.8679396226406959
GRU|40|3.0|75|120|150|64-256:64|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.3935415714278771,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,3.0,75,120,150,64-256:64,2048,-0.5208750839026005,0.1273335124747234
LSTM|100|3.0|30|120|150|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.4041945794636282,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,100,3.0,30,120,150,64-256:64,1024,-0.19330815684239586,-0.21088642262123233
GRU|40|5.0|125|60|20|32-96:32|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,0.08857177385304868,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,5.0,125,60,20,32-96:32,1024,0.8831606845528802,-0.7945889106998315
GRU|40|3.0|75|120|20|64-256:64|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.47054755541631893,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,3.0,75,120,20,64-256:64,512,0.6316196985588203,-1.1021672539751393
GRU|40|5.0|125|120|150|32-96:32|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,0.08829438797118819,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,5.0,125,120,150,32-96:32,1024,-1.8682842982371592,1.9565786862083474
GRU|100|5.0|50|120|150|32-96:32|2048,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,0.08738386250264436,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,5.0,50,120,150,32-96:32,2048,0.6754032335258838,-0.5880193710232394
GRU|100|3.0|30|120|150|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.47450152765325826,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,100,3.0,30,120,150,64-256:64,1024,0.6529601773017191,-1.1274617049549773
GRU|40|5.0|125|120|20|64-256:64|1024,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,5.0,0.0808499523012936,Resultados_Testes_2DS1112_DoE_full_288.xlsx,GRU,40,5.0,125,120,20,64-256:64,1024,0.4253134221292486,-0.344463469827955
LSTM|40|3.0|75|120|20|64-256:64|512,rssi_odom_dataset_11apr25_isolado.parquet→rssi_odom_dataset_12apr25_isolado,3.0,-0.48758028605647863,Resultados_Testes_2DS1112_DoE_full_288.xlsx,LSTM,40,3.0,75,120,20,64-256:64,512,0.005243396540319921,-0.49282368259679854
